battery_id,capacity,rated_capacity,soh,cycle_number,amb_temp,discharge_duration,voltage_at_cutoff,cell_temp_end,charge_duration,charge_peak_temp,charge_mean_temp,charge_mean_voltage,charge_mean_current
B0005,1.8564874208181572,1.8564874208181572,100.0,1,24,3690.234,3.277169976825196,34.230852841540965,7597.875,27.445134031590747,25.32407901830568,4.187419504014827,0.6434546691871927
B0005,1.846327249719927,1.8564874208181572,99.45272071416716,2,24,3672.344,3.3002448871222545,34.3921365871887,10516.0,29.34194895777482,26.63562262811608,4.058826443375249,0.9490426727251162
B0005,1.835349194223408,1.8564874208181572,98.86138595081707,3,24,3651.641,3.327451009868628,34.23277871576327,10484.547,29.553300732538816,26.778175507896705,4.058138828852896,0.9505286974657303
B0005,1.8352625275821128,1.8564874208181572,98.85671763794174,4,24,3631.563,3.314181858907029,34.413449952605504,10397.89,29.456340289732644,26.70320405781683,4.058904789088504,0.9523115206216739
B0005,1.8346455082120416,1.8564874208181572,98.82348178817772,5,24,3629.172,3.30549673128648,34.34588498997869,10495.203,29.4813335075363,26.617004288392,4.058329981003973,0.9477284862498987
B0005,1.8356616600675493,1.8564874208181572,98.87821697485944,6,24,3652.281,3.302329112973759,34.20092692100587,10792.672,29.39582042914756,26.51849450408942,4.059785107501149,0.9326606943848299
B0005,1.8351461429226603,1.8564874208181572,98.85044855913478,7,24,3650.828,3.2937406695499014,34.298284762513184,10789.985,29.43842411948605,26.620706323978894,4.058914241429766,0.9322724824266048
B0005,1.8257567905665535,1.8564874208181572,98.34468955151549,8,24,3572.453,3.3162307407741536,34.76224183630716,10127.562,29.51081056398121,26.737918888901717,4.053425643583467,0.9653291698755071
B0005,1.8247738529891333,1.8564874208181572,98.29174345738106,9,24,3550.594,3.297410935416153,35.05182952791622,10147.952999999994,29.668813794471543,26.741457030661458,4.055637707823975,0.9616213808811537
B0005,1.824613268496936,1.8564874208181572,98.28309354731991,10,24,3551.25,3.2884044830952868,35.02973666184703,10162.094,29.77928873582229,26.7021703105932,4.055138987448823,0.960815286794583
B0005,1.8246195526864504,1.8564874208181572,98.28343204622078,11,24,3530.25,3.2662755750614747,35.32247968803144,10119.375,29.71100043300344,26.608132946993933,4.054491573689291,0.961954518108792
B0005,1.814201935767392,1.8564874208181572,97.72228539894282,12,24,3491.016,3.296199859463087,35.59296016104038,10013.235,29.79634895864274,26.633147865633777,4.052614691993199,0.9688176644385615
B0005,1.8137521577549052,1.8564874208181572,97.69805803238793,13,24,3470.281,3.2717574155336004,35.96127245490519,9586.875,30.37677905152779,27.033644494333256,4.076087195502948,0.948479102987148
B0005,1.8134404914735824,1.8564874208181572,97.68127007692819,14,24,3470.0,3.264855084085025,35.86960969538033,9952.359,30.05302011094364,26.870618187745677,4.054612747973269,0.9671176035785913
B0005,1.8025980036306504,1.8564874208181572,97.09723768751648,15,24,3450.297,3.309111201518355,35.53204380823203,10758.031000000004,30.168468843680717,26.738987031481408,4.059265909682025,0.9281364622466176
